date,temp,humidity,precip,windspeed,uvindex,avg_e_price,avg_s_price,Station_1454,Station_1425,Station_1916,Station_980,Station_387,Station_1345,Station_1252,Station_2379,Station_669,Station_1984,Station_267,Station_178,Station_807,Station_786,Station_851,Station_1880,Station_1311,Station_732,Station_1419,Station_734,Station_762,Station_1064
2023/7/1 0:00,17.7,70.64,0.0,23.0,0,0.255759537,0.255759537,13.33333333,13.33333333,11.30857143,6.4,6.4,6.4,6.933333333,6.4,23.08896003,12.7,2.436036036,19.82659268,11.54448002,10.42032223,12.02032223,1.369369369,7.657142857,0.736507937,6.4,53.33333333,0.0,8.533333333
2023/7/1 1:00,17.5,75.68,0.0,26.6,0,0.255773323,0.255773323,12.8,12.8,11.30285714,6.933333333,6.933333333,6.4,6.4,6.4,23.0113207,12.7,2.407207207,19.77600981,11.50566035,10.38852854,11.98852854,1.340540541,8.228571429,0.742857143,6.4,13.86666667,0.0,8.533333333
2023/7/1 2:00,16.8,80.15,0.092,28.0,0,0.255760467,0.255760467,12.8,12.8,11.29714286,6.4,6.4,6.4,6.4,6.4,22.93368136,12.7,2.378378378,19.72542694,11.46684068,10.35673486,11.95673486,1.311711712,8.8,0.749206349,6.4,13.86666667,0.0,8.533333333
2023/7/1 3:00,16.0,88.97,0.0,31.2,0,0.255760404,0.255760404,12.8,12.8,11.29142857,6.4,6.4,6.4,6.4,6.4,22.85604203,12.7,2.34954955,19.67484407,11.42802101,10.32494118,11.92494118,1.282882883,8.304761905,0.755555556,6.4,13.86666667,0.0,8.533333333
2023/7/1 4:00,16.0,92.96,0.0,28.4,0,0.255760295,0.255760295,12.8,12.8,11.28571429,6.4,6.4,6.4,6.4,6.4,22.7784027,12.7,2.320720721,19.62426119,11.38920135,10.2931475,11.8931475,1.254054054,8.342857143,0.761904762,6.4,13.86666667,0.0,8.533333333
2023/7/1 5:00,16.1,96.79,0.0,27.4,0,0.255760147,0.255760147,12.8,12.8,11.28,6.4,6.4,6.4,6.4,6.4,22.70076336,12.7,2.291891892,19.57367832,11.35038168,10.26135382,11.86135382,1.225225225,8.380952381,0.768253968,6.4,13.86666667,0.0,8.533333333
2023/7/1 6:00,16.2,97.51,0.0,25.1,0,0.255759865,0.255759865,12.8,12.8,11.27428571,6.4,6.4,6.4,6.4,6.4,22.62312403,12.7,2.263063063,19.52309545,11.31156201,10.22956014,11.82956014,1.196396396,8.419047619,0.774603175,6.4,13.86666667,2.666666667,8.533333333
2023/7/1 7:00,16.3,97.74,0.0,24.4,0,0.255760113,0.255760113,12.8,12.8,11.26857143,6.4,6.4,6.4,6.4,6.4,22.5454847,12.7,2.234234234,19.47251258,11.27274235,10.19776646,11.79776646,1.167567568,8.457142857,0.780952381,6.4,13.86666667,3.2,8.533333333
2023/7/1 8:00,16.9,98.51,1.016,21.2,0,0.255760157,0.255760157,12.8,12.8,11.26285714,6.4,6.4,6.4,6.4,6.4,22.46784536,12.7,2.205405405,19.42192971,11.23392268,10.16597278,11.76597278,1.138738739,8.495238095,0.787301587,6.4,13.86666667,0.0,8.533333333
2023/7/1 9:00,17.0,99.17,0.0,25.1,1,0.255759912,0.255759912,12.8,12.8,11.25714286,6.4,6.4,6.4,6.4,6.4,22.39020603,12.7,2.176576577,19.37134684,11.19510301,10.1341791,11.7341791,1.10990991,8.533333333,0.793650794,6.4,13.86666667,0.0,8.533333333
