date,temp,humidity,precip,windspeed,uvindex,avg_e_price,avg_s_price,Station_57,Station_1908,Station_1859,Station_2110,Station_527,Station_63,Station_1491,Station_2180,Station_877,Station_1642,Station_1899,Station_373,Station_258,Station_482,Station_1197,Station_567,Station_1415,Station_573,Station_260,Station_1828,Station_2093,Station_1735,Station_327,Station_496,Station_1780,Station_765,Station_1227,Station_1653,Station_1962
2023/7/1 0:00,17.7,70.64,0.0,23.0,0,0.255759537,0.255759537,0.0,45.86666667,14.4,3.880555556,3.2,13.62436709,6.4,25.4,62.4,0.0,2.844444444,8.486956522,3.733333333,6.4,5.866666667,12.26666667,6.4,0.0,12.8,0.655238095,1.462962963,0.0,6.4,1.392592593,11.73333333,4.18245614,6.4,1.325925926,0.79323181
2023/7/1 1:00,17.5,75.68,0.0,26.6,0,0.255773323,0.255773323,16.66666667,6.4,20.26666667,3.902604167,6.4,13.61097046,6.4,25.4,22.4,0.0,3.006060606,9.6,3.663768116,6.4,6.933333333,13.33333333,6.4,0.0,12.8,0.659047619,1.459259259,0.0,6.4,1.398518519,11.73333333,4.126315789,6.4,1.318518519,0.801353638
2023/7/1 2:00,16.8,80.15,0.092,28.0,0,0.255760467,0.255760467,50.0,6.4,19.2,3.924652778,6.4,13.59757384,6.4,12.7,21.6,0.0,3.167676768,9.113043478,3.594202899,6.4,8.533333333,12.8,6.4,0.0,12.8,0.662857143,1.455555556,0.0,5.866666667,1.404444444,12.8,4.070175439,6.4,1.311111111,0.809475465
2023/7/1 3:00,16.0,88.97,0.0,31.2,0,0.255760404,0.255760404,50.0,6.4,17.06666667,3.946701389,6.4,13.58417722,6.4,12.7,20.8,0.0,3.329292929,9.15942029,3.524637681,6.4,12.8,12.8,6.4,0.0,12.8,0.666666667,1.451851852,0.0,4.266666667,1.41037037,12.8,4.014035088,5.866666667,1.303703704,0.817597293
2023/7/1 4:00,16.0,92.96,0.0,28.4,0,0.255760295,0.255760295,50.0,6.4,9.6,3.96875,6.4,13.57078059,6.4,12.7,19.2,0.0,3.490909091,9.205797101,3.455072464,5.333333333,12.8,12.8,6.4,0.0,12.8,0.67047619,1.448148148,0.0,6.4,1.416296296,12.8,3.957894737,0.0,1.296296296,0.82571912
2023/7/1 5:00,16.1,96.79,0.0,27.4,0,0.255760147,0.255760147,50.0,6.4,6.4,3.990798611,3.2,13.55738397,6.4,12.7,19.2,0.0,3.652525253,9.252173913,3.385507246,4.8,12.8,12.8,6.4,0.0,12.8,0.674285714,1.444444444,0.0,6.4,1.422222222,12.8,3.901754386,0.0,1.288888889,0.833840948
2023/7/1 6:00,16.2,97.51,0.0,25.1,0,0.255759865,0.255759865,50.0,6.4,6.4,4.012847222,0.0,13.54398734,6.4,12.7,19.2,0.0,3.814141414,9.298550725,3.315942029,6.4,12.8,12.8,4.266666667,0.0,12.8,0.678095238,1.440740741,0.0,6.4,1.428148148,12.8,3.845614035,0.0,1.281481481,0.841962775
2023/7/1 7:00,16.3,97.74,0.0,24.4,0,0.255760113,0.255760113,37.5,6.4,11.2,4.034895833,0.0,13.53059072,6.4,12.7,19.2,0.0,3.975757576,9.344927536,3.246376812,4.266666667,12.8,12.8,0.0,0.0,12.8,0.681904762,1.437037037,0.0,6.4,1.434074074,12.8,3.789473684,0.0,1.274074074,0.850084602
2023/7/1 8:00,16.9,98.51,1.016,21.2,0,0.255760157,0.255760157,4.166666667,6.4,12.8,4.056944444,0.0,13.51719409,6.4,12.7,19.2,0.0,4.137373737,9.391304348,3.176811594,4.266666667,12.8,12.8,0.0,0.0,12.8,0.685714286,1.433333333,0.0,6.4,1.44,12.8,3.733333333,0.0,1.266666667,0.85820643
2023/7/1 9:00,17.0,99.17,0.0,25.1,1,0.255759912,0.255759912,16.66666667,6.4,12.8,4.078993056,0.0,13.50379747,6.4,12.7,19.2,0.0,4.298989899,9.437681159,3.107246377,3.2,12.8,12.8,0.0,0.0,12.8,0.68952381,1.42962963,0.0,6.4,1.445925926,12.8,3.677192982,0.0,1.259259259,0.866328257
