date,temp,humidity,precip,windspeed,uvindex,avg_e_price,avg_s_price,Station_994,Station_1187,Station_2192,Station_342,Station_481,Station_1389,Station_209,Station_641,Station_406,Station_646,Station_1397,Station_1760,Station_1253,Station_1276,Station_1288,Station_1238,Station_254,Station_230,Station_1786,Station_1628,Station_256,Station_1512,Station_558,Station_1300,Station_452,Station_1861,Station_2108,Station_585
2023/7/1 0:00,17.7,70.64,0.0,23.0,0,0.255759537,0.255759537,50.0,13.33333333,2.997701149,6.933333333,10.66666667,6.4,0.0,7.6,12.8,5.52009627,0.0,6.4,6.933333333,4.047058824,3.61025641,6.361904762,4.705882353,1.6,1.828571429,0.0,2.453333333,5.032108317,0.0,6.4,1.704761905,0.96969697,5.866666667,2.118918919
2023/7/1 1:00,17.5,75.68,0.0,26.6,0,0.255773323,0.255773323,50.0,12.8,3.052873563,6.4,12.8,6.4,0.0,7.466666667,12.8,5.523947052,0.0,6.4,0.533333333,4.156862745,3.569230769,6.323809524,4.674509804,1.6,1.942857143,2.133333333,2.346666667,5.12873415,0.0,6.4,1.733333333,1.018181818,6.933333333,2.094894895
2023/7/1 2:00,16.8,80.15,0.092,28.0,0,0.255760467,0.255760467,50.0,12.8,3.108045977,6.4,12.8,6.4,0.0,7.333333333,12.8,5.527797834,0.0,6.4,2.666666667,4.266666667,3.528205128,6.285714286,4.643137255,1.6,2.057142857,6.4,2.24,5.225359983,0.0,7.466666667,1.761904762,1.066666667,6.4,2.070870871
2023/7/1 3:00,16.0,88.97,0.0,31.2,0,0.255760404,0.255760404,50.0,12.8,3.163218391,6.4,12.8,6.4,0.0,7.2,7.466666667,5.531648616,0.0,6.4,0.0,4.693333333,3.487179487,6.247619048,4.611764706,1.6,2.171428571,6.4,2.133333333,5.321985816,0.0,4.8,1.79047619,1.115151515,6.4,2.046846847
2023/7/1 4:00,16.0,92.96,0.0,28.4,0,0.255760295,0.255760295,50.0,12.26666667,3.218390805,10.66666667,12.8,8.0,0.0,7.066666667,6.4,5.535499398,0.0,6.4,0.0,5.12,3.446153846,6.20952381,4.580392157,1.6,2.285714286,6.4,0.0,5.304964539,0.0,6.4,1.819047619,1.163636364,6.4,2.022822823
2023/7/1 5:00,16.1,96.79,0.0,27.4,0,0.255760147,0.255760147,50.0,12.8,3.273563218,12.8,12.8,12.8,3.733333333,6.933333333,6.4,5.539350181,0.0,6.4,0.0,5.546666667,3.405128205,6.171428571,4.549019608,1.6,2.4,6.4,0.0,5.287943262,0.0,6.4,1.847619048,1.212121212,6.4,1.998798799
2023/7/1 6:00,16.2,97.51,0.0,25.1,0,0.255759865,0.255759865,50.0,12.8,3.328735632,12.8,12.8,12.8,5.866666667,6.4,6.4,5.543200963,2.666666667,6.4,0.0,5.973333333,3.364102564,6.133333333,4.517647059,1.6,2.514285714,6.4,4.266666667,5.270921986,0.0,6.4,1.876190476,1.260606061,6.4,1.974774775
2023/7/1 7:00,16.3,97.74,0.0,24.4,0,0.255760113,0.255760113,50.0,12.8,3.383908046,12.8,12.8,12.8,0.0,6.4,6.4,5.547051745,6.4,6.4,0.0,6.4,3.323076923,6.095238095,4.48627451,1.6,2.628571429,6.4,4.121212121,5.253900709,0.0,6.4,1.904761905,1.309090909,6.4,1.950750751
2023/7/1 8:00,16.9,98.51,1.016,21.2,0,0.255760157,0.255760157,62.5,12.8,3.43908046,6.4,12.8,12.8,0.0,5.333333333,6.4,5.550902527,6.4,6.4,0.0,6.4,3.282051282,6.057142857,4.454901961,1.6,2.742857143,6.4,3.975757576,5.236879433,0.0,6.4,1.933333333,1.357575758,6.4,1.926726727
2023/7/1 9:00,17.0,99.17,0.0,25.1,1,0.255759912,0.255759912,50.0,12.8,3.494252874,0.533333333,12.8,12.8,0.0,0.0,6.4,5.554753309,6.4,6.4,0.0,6.4,3.241025641,6.019047619,4.423529412,1.6,2.857142857,3.733333333,3.83030303,5.219858156,0.0,5.866666667,1.961904762,1.406060606,6.4,1.902702703
